tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
2111,4810,3076,3,3076,4809,4.222844839096069,4.242152214050293
3114,3291,3576,19,3563,3290,6.452197551727295,4.170681953430176
4105,2566,3282,47,3278,2565,11.342988014221191,4.678925275802612
5026,2430,2456,88,2436,2425,11.127924919128418,5.074505567550659
5899,1463,2538,100,2515,1454,12.834484100341797,5.248229265213013
6776,1318,1732,174,1709,1302,20.838412046432495,6.223694562911987
7776,703,1330,191,1295,688,19.817201614379883,4.697988510131836
8553,266,830,351,757,252,19.681650638580322,4.428311347961426
