tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
2110,6163,1723,4,1723,6162,0.07833194732666016,0.3855879306793213
3130,5814,1053,3,1048,5805,0.11301755905151367,0.3211677074432373
4148,5369,479,4,478,5365,0.16822195053100586,0.23946523666381836
5112,4649,237,2,234,4627,0.18469476699829102,0.08333492279052734
5994,3925,76,5,72,3897,0.21538257598876953,0.06765556335449219
6942,2794,256,8,251,2760,0.2585623264312744,0.0681467056274414
7961,1957,76,6,67,1916,0.34150075912475586,0.06210637092590332
8898,1072,24,6,11,998,0.3025641441345215,0.06502723693847656
