tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
2114,1400,6486,0,6485,1400,0.8796889781951904,0.5260107517242432
3133,1898,4969,0,4955,1898,1.2663395404815674,0.5267641544342041
4152,1669,4179,0,4175,1668,1.9288179874420166,0.5700387954711914
5114,1628,3258,0,3234,1627,2.0472257137298584,0.5588607788085938
5999,1593,2408,0,2383,1586,2.3728551864624023,0.5636065006256104
6950,747,2303,0,2268,743,3.4689533710479736,0.9495494365692139
7967,498,1535,0,1496,487,3.085164785385132,0.7678074836730957
8904,275,821,0,748,261,3.549459218978882,0.7806274890899658
