tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1761,1293,6593,353,6592,1293,0.7188200950622559,0.46509528160095215
2826,1454,5413,307,5399,1454,1.1025030612945557,0.518571138381958
3816,1465,4383,336,4379,1464,1.7945969104766846,0.5767168998718262
4697,1482,3404,417,3380,1481,1.7530903816223145,0.501457929611206
5588,1313,2688,411,2659,1310,2.1637847423553467,0.5637154579162598
6490,665,2385,460,2349,662,2.874691963195801,0.7554373741149902
7455,469,1564,512,1525,458,3.4553115367889404,0.53102707862854
8298,213,883,606,807,202,3.41135835647583,0.5344550609588623
