tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1979,2342,5544,135,5543,2342,0.26726388931274414,0.19642972946166992
2973,2293,4574,160,4560,2293,0.3848278522491455,0.1824357509613037
4003,1811,4037,149,4033,1810,0.5997776985168457,0.17483758926391602
4925,2141,2745,189,2725,2136,0.603179931640625,0.18550658226013184
5792,1682,2319,207,2292,1677,0.8319642543792725,0.23859143257141113
6678,884,2166,272,2133,878,0.9907186031341553,0.38300037384033203
7720,656,1377,247,1339,644,1.143974781036377,0.48587465286254883
8587,270,826,317,753,256,1.2866594791412354,0.27121710777282715
