tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1897,7268,807,28,795,7205,-1,-1
2601,6728,608,63,554,6446,-1,-1
3198,5910,790,102,662,5338,-1,-1
3759,5290,797,154,577,4423,-1,-1
4154,4876,773,197,453,3547,-1,-1
4824,4246,704,226,360,2640,-1,-1
5251,3755,742,252,200,1800,-1,-1
6017,3019,676,288,124,876,-1,-1
