tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1663,2445,5564,328,5556,2444,1.2320241928100586,0.9251968860626221
2573,2744,4342,341,4293,2707,1.9855570793151855,0.9378228187561035
3398,2178,4017,407,3920,2080,2.4672982692718506,0.991478681564331
4143,1751,3571,535,3413,1587,3.229750156402588,0.9728219509124756
5110,2859,1475,556,1327,2673,3.8354299068450928,0.9922864437103271
5560,2332,1467,641,1193,1807,5.119675397872925,1.4382619857788086
6398,1240,1596,766,1324,676,5.273112773895264,1.304983139038086
7295,1080,766,859,481,519,5.813920021057129,1.0459849834442139
