tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1991,2765,5244,0,5237,2763,1.4358294010162354,0.9422745704650879
2914,3302,3784,0,3747,3253,2.1429851055145264,1.119959831237793
3805,2582,3613,0,3550,2450,2.8873634338378906,0.975942850112915
4678,2384,2938,0,2839,2161,3.486814498901367,0.9685235023498535
5666,3179,1155,0,1059,2941,4.613497495651245,0.9885079860687256
6201,2548,1251,0,1062,1938,6.267427206039429,1.4007372856140137
7164,1485,1351,0,1191,809,7.047316312789917,1.177685022354126
8154,1242,604,0,419,581,6.694520473480225,1.0564992427825928
