tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
2019,3660,4226,95,4225,3660,0.12941312789916992,0.2496650218963623
3062,3262,3605,71,3593,3260,0.18375372886657715,0.08408045768737793
4064,3205,2643,88,2639,3204,0.2578597068786621,0.23454523086547852
5022,3119,1767,92,1753,3108,0.294771671295166,0.08361148834228516
5889,2788,1213,110,1197,2772,0.33611392974853516,0.09538412094116211
6793,1365,1685,157,1660,1351,0.4648923873901367,0.1015620231628418
7834,1175,858,133,829,1154,0.5252985954284668,0.14234137535095215
8710,481,615,194,559,450,0.5903403759002686,0.11492133140563965
