tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
740,6555,5335,0,5303,6547,0.06043243408203125,0.159071683883667
1486,6823,4321,0,4304,6796,0.10411715507507324,0.14408349990844727
1877,6452,4301,0,4232,6418,0.15743231773376465,0.14554715156555176
2569,5102,4959,0,4924,5066,0.21078157424926758,0.1339576244354248
2721,3637,6272,0,5818,3542,0.23678827285766602,0.12596368789672852
3108,3059,6463,0,6293,2917,0.22374701499938965,0.13306117057800293
3211,3047,6372,0,5944,2816,0.2795131206512451,0.15096068382263184
3948,2934,5748,0,5533,2777,0.30383896827697754,0.1369476318359375
4572,2688,5370,0,5254,2576,0.29961276054382324,0.13715100288391113
4750,2280,5600,0,5245,1925,0.41040587425231934,0.1553192138671875
5624,2534,4472,0,4346,2404,0.44301390647888184,0.1487417221069336
6240,2219,4171,0,4022,2038,0.46167492866516113,0.1479628086090088
6483,2056,4091,0,3560,1780,0.5682899951934814,0.14335346221923828
7235,1829,3566,0,3394,1676,0.524449348449707,0.1685783863067627
7270,1897,3463,0,3191,1669,0.5516417026519775,0.19112420082092285
7160,2239,3231,0,2766,1944,0.6543524265289307,0.18467974662780762
7903,1582,3145,0,2911,1439,0.7498867511749268,0.18299579620361328
8317,1397,2916,0,2720,1240,0.6511144638061523,0.15665173530578613
8333,1172,3125,0,2905,995,0.7505848407745361,0.16620540618896484
