tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
2113,6739,1147,1,1147,6738,-1,-1
3121,4789,2078,12,2074,4779,-1,-1
4142,4064,1784,10,1781,4062,-1,-1
5062,3363,1523,52,1512,3349,-1,-1
5965,2244,1757,34,1739,2230,-1,-1
6918,1627,1423,32,1397,1614,-1,-1
7909,1072,961,58,928,1055,-1,-1
8833,645,451,71,401,608,-1,-1
