tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1924,2128,5758,190,5757,2128,0.4040675163269043,0.5010771751403809
2935,2023,4844,198,4830,2023,0.5318973064422607,0.2675952911376953
3965,1780,4068,187,4064,1779,0.8515205383300781,0.25762224197387695
4884,2049,2837,230,2816,2045,0.8738553524017334,0.2694883346557617
5744,1640,2361,255,2334,1635,1.2411999702453613,0.3020951747894287
6625,810,2240,325,2205,806,1.4613616466522217,0.29534292221069336
7664,616,1417,303,1379,604,2.013979196548462,0.41385984420776367
8508,249,847,396,774,235,1.9109671115875244,0.4107344150543213
