tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1973,7114,895,18,890,7110,3.74965763092041,3.8540539741516113
2884,5513,1573,30,1556,5444,5.664528131484985,3.81493878364563
3709,3924,2271,96,2205,3795,8.197632551193237,4.502552032470703
4463,2798,2524,215,2427,2573,11.171053409576416,4.518986463546753
5421,3263,1071,245,950,3050,13.387107133865356,4.462904214859009
5763,2764,1035,438,789,2211,21.46170663833618,5.518345832824707
6497,1573,1263,667,897,1103,25.1647846698761,6.21280837059021
7378,1348,498,776,130,870,25.916706085205078,4.433560609817505
