tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
2010,2655,5231,104,5230,2655,0.18798375129699707,0.18593096733093262
3055,2639,4228,78,4216,2637,0.2441704273223877,0.16748523712158203
4039,2206,3642,113,3638,2205,0.38262033462524414,0.1329348087310791
4994,2289,2597,120,2576,2285,0.3715784549713135,0.27204108238220215
5865,1797,2204,134,2177,1792,0.5474615097045898,0.2776215076446533
6754,911,2139,196,2106,905,0.6276257038116455,0.14823365211486816
7790,748,1285,177,1250,733,0.8293142318725586,0.17456412315368652
8646,310,786,258,715,294,0.8608894348144531,0.1615750789642334
