tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1761,1293,6593,353,6592,1293,0.7047054767608643,0.44887804985046387
2826,1454,5413,307,5399,1454,1.0041561126708984,0.46512484550476074
3816,1465,4383,336,4379,1464,1.476332426071167,0.4620509147644043
4697,1482,3404,417,3380,1481,1.6955795288085938,0.5050115585327148
5588,1313,2688,411,2659,1310,1.9030280113220215,0.5144457817077637
6490,665,2385,460,2349,662,2.5034518241882324,0.513648271560669
7455,469,1564,512,1525,458,3.3528144359588623,0.7820885181427002
8298,213,883,606,807,202,3.0627923011779785,0.9360871315002441
