tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1870,6694,1381,55,1360,6640,-1,-1
2537,6158,1178,127,1066,5934,-1,-1
3085,5243,1457,215,1241,4759,-1,-1
3586,4642,1445,327,1032,3968,-1,-1
3972,4214,1435,379,885,3115,-1,-1
4598,3641,1309,452,671,2329,-1,-1
4972,3208,1289,531,363,1637,-1,-1
5713,2464,1231,592,237,763,-1,-1
