tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1562,4440,3635,363,3581,4419,1.3042433261871338,1.2623567581176758
2186,4685,2651,478,2444,4556,1.9454536437988281,1.261073350906372
2711,4437,2263,589,1938,4062,2.6062545776367188,1.2047266960144043
3238,3979,2108,675,1592,3408,3.2827539443969727,1.2423205375671387
3633,3511,2138,718,1421,2579,4.350003004074097,1.2822482585906982
4280,3353,1597,770,925,2075,4.978696584701538,1.1685640811920166
4459,2678,1819,1044,700,1300,5.717332124710083,1.3035032749176025
5371,2358,1337,934,305,695,6.341365814208984,1.227294683456421
