tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1933,2780,5106,181,5105,2780,0.35146498680114746,0.2564244270324707
2940,2307,4560,193,4546,2307,0.505638599395752,0.21677231788635254
3983,2279,3569,169,3565,2278,0.7167491912841797,0.19897174835205078
4901,2498,2388,213,2369,2492,0.7546637058258057,0.2200162410736084
5761,2156,1845,238,1826,2143,0.9242472648620605,0.26858043670654297
6654,1032,2018,296,1986,1025,1.2588920593261719,0.2546710968017578
7697,819,1214,270,1176,807,1.4978821277618408,0.35555100440979004
8559,356,740,345,674,335,1.6431021690368652,0.34109044075012207
