tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1989,3147,4739,125,4738,3147,0.20585179328918457,0.1327660083770752
2979,2748,4119,154,4105,2748,0.33896803855895996,0.13457918167114258
4022,2405,3443,130,3439,2404,0.40165281295776367,0.1277937889099121
4947,2667,2219,167,2203,2658,0.44921350479125977,0.13826656341552734
5815,2350,1651,184,1633,2336,0.6012275218963623,0.16144752502441406
6716,1267,1783,234,1759,1252,0.7982075214385986,0.18506360054016113
7759,943,1090,208,1059,924,0.9220788478851318,0.2474219799041748
8650,431,665,254,602,407,1.0636470317840576,0.21520471572875977
