tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
2100,3493,4393,14,4392,3493,0.033202171325683594,0.07899332046508789
3119,3614,3253,14,3245,3608,0.045508384704589844,0.20366430282592773
4106,2388,3460,46,3456,2387,0.09407353401184082,0.06099557876586914
5069,2612,2274,45,2255,2606,0.08359456062316895,0.041036128997802734
5952,1891,2110,47,2085,1884,0.14072704315185547,0.041959524154663086
6870,1126,1924,80,1894,1117,0.17251944541931152,0.04017329216003418
7896,889,1144,71,1110,873,0.23364949226379395,0.05417156219482422
8798,426,670,106,604,405,0.24859118461608887,0.25223779678344727
