tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1658,1690,6196,456,6195,1690,2.7104334831237793,2.5152084827423096
2604,1108,5759,529,5745,1108,4.0425426959991455,2.5909616947174072
3657,1800,4048,495,4044,1799,5.489517688751221,3.5361855030059814
4540,1751,3135,574,3112,1749,6.533616542816162,4.2947304248809814
5215,1399,2602,784,2572,1397,7.79694128036499,4.512526750564575
5990,523,2527,960,2493,518,9.101489067077637,5.607177257537842
7016,361,1672,951,1634,349,12.16317343711853,6.353203773498535
7642,161,935,1262,856,153,13.472746849060059,7.380514144897461
