tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1925,6246,1829,0,1793,6207,1.5236663818359375,1.2121732234954834
2664,6305,1031,0,948,6052,2.404811382293701,1.1611716747283936
3300,5672,1028,0,861,5139,3.103968858718872,1.1987597942352295
3913,5175,912,0,716,4284,3.9608309268951416,1.2111694812774658
4351,4818,831,0,577,3423,5.088202476501465,1.1729896068572998
5050,4057,893,0,540,2460,5.790369749069214,1.183797836303711
5503,3625,872,0,335,1665,6.58591890335083,1.2539126873016357
6305,3066,629,0,165,835,7.268527507781982,1.2454900741577148
