tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
2112,5707,2179,2,2178,5707,-1,-1
3103,3300,3567,30,3558,3295,-1,-1
4127,2791,3057,25,3053,2790,-1,-1
4956,2522,2364,158,2347,2514,-1,-1
5869,1269,2732,130,2706,1263,-1,-1
6831,751,2299,119,2266,745,-1,-1
7772,439,1594,195,1552,431,-1,-1
8671,323,773,233,700,309,-1,-1
