tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1986,7605,404,5,404,7596,-1,-1
2853,5766,1320,61,1273,5727,-1,-1
3544,3552,2643,261,2519,3481,-1,-1
4346,3378,1944,332,1746,3254,-1,-1
5266,3290,1044,400,844,3156,-1,-1
5461,2686,1113,740,581,2419,-1,-1
6227,1482,1354,937,763,1237,-1,-1
7136,997,849,1018,244,756,-1,-1
