tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
724,10996,894,16,878,10972,-1,-1
1411,6496,4648,75,4624,6476,-1,-1
1784,7131,3622,93,3551,7099,-1,-1
2496,6413,3648,73,3595,6395,-1,-1
2334,5996,3913,387,3642,5718,-1,-1
2739,5827,3695,369,3493,5717,-1,-1
2951,6654,2765,260,2497,6263,-1,-1
3722,4887,3795,226,3592,4718,-1,-1
4430,4891,3167,142,3047,4783,-1,-1
4351,5754,2126,399,1798,5372,-1,-1
5433,4394,2612,191,2452,4298,-1,-1
6013,4250,2140,227,1948,4112,-1,-1
6144,4037,2110,339,1769,3571,-1,-1
7045,4046,1349,190,1177,3893,-1,-1
6939,3663,1697,331,1416,3444,-1,-1
6441,3461,2009,719,1513,3197,-1,-1
7618,3342,1385,285,1159,3191,-1,-1
8138,3085,1228,179,1045,2915,-1,-1
8106,2974,1323,227,1120,2780,-1,-1
