tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
2019,3660,4226,95,4225,3660,0.11995124816894531,0.09332990646362305
3062,3262,3605,71,3593,3260,0.17397737503051758,0.08957195281982422
4064,3205,2643,88,2639,3204,0.23750996589660645,0.07946014404296875
5022,3119,1767,92,1753,3108,0.26247596740722656,0.09113430976867676
5889,2788,1213,110,1197,2772,0.3481113910675049,0.09065866470336914
6793,1365,1685,157,1660,1351,0.34966278076171875,0.09270024299621582
7834,1175,858,133,829,1154,0.5379154682159424,0.11115121841430664
8710,481,615,194,559,450,0.5530972480773926,0.12586331367492676
