tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
1988,7795,214,3,214,7786,-1,-1
2888,6378,708,26,682,6318,-1,-1
3715,4713,1482,90,1410,4590,-1,-1
4537,4245,1077,141,950,4050,-1,-1
5483,3775,559,183,430,3570,-1,-1
5833,3147,652,368,337,2663,-1,-1
6742,2026,810,422,424,1576,-1,-1
7727,1365,481,427,118,882,-1,-1
